CountyName,TimeStamp,CovidCases
Carlow,2020-10-05,301
Carlow,2020-10-06,302
Carlow,2020-10-07,302
Carlow,2020-10-08,305
Carlow,2020-10-09,312
Carlow,2020-10-10,316
Carlow,2020-10-11,323
Carlow,2020-10-12,329
Carlow,2020-10-13,333
Carlow,2020-10-14,339
Carlow,2020-10-15,360
Carlow,2020-10-16,365
Carlow,2020-10-17,385
Carlow,2020-10-18,396
Carlow,2020-10-19,414
Carlow,2020-10-20,418
Carlow,2020-10-21,440
Carlow,2020-10-22,443
Carlow,2020-10-23,466
Carlow,2020-10-24,482
Carlow,2020-10-25,497
Carlow,2020-10-26,506
Carlow,2020-10-27,519
Carlow,2020-10-28,525
Carlow,2020-10-29,527
Carlow,2020-10-30,535
Carlow,2020-10-31,539
Carlow,2020-11-01,554
Carlow,2020-11-02,556
Carlow,2020-11-03,556
Carlow,2020-11-04,562
Carlow,2020-11-05,564
Carlow,2020-11-06,567
Carlow,2020-11-07,573
Carlow,2020-11-08,575
Carlow,2020-11-09,578
Carlow,2020-11-10,579
Carlow,2020-11-11,578
Carlow,2020-11-12,582
Carlow,2020-11-13,586
Carlow,2020-11-14,588
Carlow,2020-11-15,594
Carlow,2020-11-16,599
Carlow,2020-11-17,601
Carlow,2020-11-18,610
Carlow,2020-11-19,613
Carlow,2020-11-20,614
Carlow,2020-11-21,615
Carlow,2020-11-22,615
Cavan,2020-03-21,3
Cavan,2020-03-22,5
Cavan,2020-03-23,5
Cavan,2020-03-24,6
Cavan,2020-03-25,9
Cavan,2020-03-26,11
Cavan,2020-03-27,19
Cavan,2020-03-28,24
Cavan,2020-03-29,31
Cavan,2020-03-30,36
Cavan,2020-03-31,39
Cavan,2020-04-01,41
Cavan,2020-04-02,67
Cavan,2020-04-03,76
Cavan,2020-04-04,115
Cavan,2020-04-05,123
Cavan,2020-04-06,129
Cavan,2020-04-07,132
Cavan,2020-04-08,151
Cavan,2020-04-09,169
Cavan,2020-04-10,210
Cavan,2020-04-11,222
Cavan,2020-04-12,245
Cavan,2020-04-13,254
Cavan,2020-04-14,310
Cavan,2020-04-15,345
Cavan,2020-04-16,353
Cavan,2020-04-17,386
Cavan,2020-04-18,401
Cavan,2020-04-19,403
Cavan,2020-04-20,430
Cavan,2020-04-21,466
Cavan,2020-04-22,506
Cavan,2020-04-23,536
Cavan,2020-04-24,574
Cavan,2020-04-25,609
Cavan,2020-04-26,627
Cavan,2020-04-27,634
Cavan,2020-04-28,634
Cavan,2020-04-29,644
Cavan,2020-04-30,656
Cavan,2020-05-01,673
Cavan,2020-05-02,682
Cavan,2020-05-03,694
Cavan,2020-05-04,709
Cavan,2020-05-05,710
Cavan,2020-05-06,730
Cavan,2020-05-07,748
Cavan,2020-05-08,752
Cavan,2020-05-09,753
Cavan,2020-05-10,757
Cavan,2020-05-11,765
Cavan,2020-05-12,767
Cavan,2020-05-13,774
Cavan,2020-05-14,776
Cavan,2020-05-15,781
Cavan,2020-05-16,788
Cavan,2020-05-17,800
Cavan,2020-05-18,802
Cavan,2020-05-19,804
Cavan,2020-05-20,804
Cavan,2020-05-21,815
Cavan,2020-05-22,824
Cavan,2020-05-23,825
Cavan,2020-05-24,827
Cavan,2020-05-25,829
Cavan,2020-05-26,833
Cavan,2020-05-27,833
Cavan,2020-05-28,833
Cavan,2020-05-29,834
Cavan,2020-05-30,839
Cavan,2020-05-31,844
Cavan,2020-06-01,844
Cavan,2020-06-02,846
Cavan,2020-06-03,854
Cavan,2020-06-04,858
Cavan,2020-06-05,858
Cavan,2020-06-06,858
Cavan,2020-06-07,858
Cavan,2020-06-08,858
Cavan,2020-06-09,858
Cavan,2020-06-10,859
Cavan,2020-06-11,860
Cavan,2020-06-12,860
Cavan,2020-06-13,860
Cavan,2020-06-14,859
Cavan,2020-06-15,859
Cavan,2020-06-16,860
Cavan,2020-06-17,860
Cavan,2020-06-18,860
Cavan,2020-06-19,862
Cavan,2020-06-20,862
Cavan,2020-06-21,861
Cavan,2020-06-22,861
Cavan,2020-06-23,862
Cavan,2020-06-24,862
Cavan,2020-06-25,862
Cavan,2020-06-26,862
Cavan,2020-06-27,862
Cavan,2020-06-28,862
Cavan,2020-06-29,862
Cavan,2020-06-30,862
Cavan,2020-07-01,862
Cavan,2020-07-02,864
Cavan,2020-07-03,864
Cavan,2020-07-04,864
Cavan,2020-07-05,864
Cavan,2020-07-06,864
Cavan,2020-07-07,865
Cavan,2020-07-08,865
Cavan,2020-07-09,865
Cavan,2020-07-10,866
Cavan,2020-07-11,865
Cavan,2020-07-12,865
Cavan,2020-07-13,865
Cavan,2020-07-14,866
Cavan,2020-07-15,866
Cavan,2020-07-16,867
Cavan,2020-07-17,867
Cavan,2020-07-18,867
Cavan,2020-07-19,867
Cavan,2020-07-20,867
Cavan,2020-07-21,867
Cavan,2020-07-22,867
Cavan,2020-07-23,867
Cavan,2020-07-24,867
Cavan,2020-07-25,867
Cavan,2020-07-26,867
Cavan,2020-07-27,868
Cavan,2020-07-28,868
Cavan,2020-07-29,870
Cavan,2020-07-30,870
Cavan,2020-07-31,876
Cavan,2020-08-01,876
Cavan,2020-08-02,876
Cavan,2020-08-03,878
Cavan,2020-08-04,878
Cavan,2020-08-05,878
Cavan,2020-08-06,880
Cavan,2020-08-07,881
Cavan,2020-08-08,881
Cavan,2020-08-09,881
Cavan,2020-08-10,882
Cavan,2020-08-11,882
Cavan,2020-08-12,882
Cavan,2020-08-13,882
Cavan,2020-08-14,882
Cavan,2020-08-15,882
Cavan,2020-08-16,882
Cavan,2020-08-17,882
Cavan,2020-08-18,882
Cavan,2020-08-19,883
Cavan,2020-08-20,883
Cavan,2020-08-21,883
Cavan,2020-08-22,883
Cavan,2020-08-23,883
Cavan,2020-08-24,886
Cavan,2020-08-25,886
Cavan,2020-08-26,890
Cavan,2020-08-27,892
Cavan,2020-08-28,892
Cavan,2020-08-29,892
Cavan,2020-08-30,892
Cavan,2020-08-31,895
Cavan,2020-09-01,895
Cavan,2020-09-02,895
Cavan,2020-09-03,895
Cavan,2020-09-04,900
Cavan,2020-09-05,900
Cavan,2020-09-06,901
Cavan,2020-09-07,902
Cavan,2020-09-08,902
Cavan,2020-09-09,903
Cavan,2020-09-10,903
Cavan,2020-09-11,904
Cavan,2020-09-12,904
Cavan,2020-09-13,905
Cavan,2020-09-14,910
Cavan,2020-09-15,910
Cavan,2020-09-16,912
Cavan,2020-09-17,912
Cavan,2020-09-18,916
Cavan,2020-09-19,918
Cavan,2020-09-20,919
Cavan,2020-09-21,919
Cavan,2020-09-22,919
Cavan,2020-09-23,927
Cavan,2020-09-24,931
Cavan,2020-09-25,932
Cavan,2020-09-26,941
Cavan,2020-09-27,944
Cavan,2020-09-28,946
Cavan,2020-09-29,953
Cavan,2020-09-30,963
Cavan,2020-10-01,972
Cavan,2020-10-02,980
Cavan,2020-10-03,985
Cavan,2020-10-04,1006
Cavan,2020-10-05,1021
Cavan,2020-10-06,1029
Cavan,2020-10-07,1052
Cavan,2020-10-08,1083
Cavan,2020-10-09,1163
Cavan,2020-10-10,1199
Cavan,2020-10-11,1238
Cavan,2020-10-12,1260
Cavan,2020-10-13,1388
Cavan,2020-10-14,1451
Cavan,2020-10-15,1532
Cavan,2020-10-16,1559
Cavan,2020-10-17,1603
Cavan,2020-10-18,1634
Cavan,2020-10-19,1714
Cavan,2020-10-20,1800
Cavan,2020-10-21,1858
Cavan,2020-10-22,1889
Cavan,2020-10-23,1912
Cavan,2020-10-24,1935
Cavan,2020-10-25,1975
Cavan,2020-10-26,1994
Cavan,2020-10-27,2005
Cavan,2020-10-28,2024
Cavan,2020-10-29,2041
Cavan,2020-10-30,2050
Cavan,2020-10-31,2052
Cavan,2020-11-01,2062
Cavan,2020-11-02,2075
Cavan,2020-11-03,2078
Cavan,2020-11-04,2083
Cavan,2020-11-05,2089
Cavan,2020-11-06,2089
Cavan,2020-11-07,2092
Cavan,2020-11-08,2096
Cavan,2020-11-09,2103
Cavan,2020-11-10,2106
Cavan,2020-11-11,2115
Cavan,2020-11-12,2126
Cavan,2020-11-13,2128
Cavan,2020-11-14,2134
Cavan,2020-11-15,2137
Cavan,2020-11-16,2141
Cavan,2020-11-17,2150
Cavan,2020-11-18,2157
Cavan,2020-11-19,2161
Cavan,2020-11-20,2166
Cavan,2020-11-21,2168
Cavan,2020-11-22,2171
Clare,2020-03-21,9
Clare,2020-03-22,11
Clare,2020-03-23,12
Clare,2020-03-24,25
