ID,Date_from,Date_to,Growth,GDP
1,2000-01-01,2000-03-31,-0.15930656314148198,100
2,2000-04-01,2000-06-30,3.03922381758084,103.03922381758083
3,2000-07-01,2000-09-30,2.27931669228131,105.38781404565206
4,2000-10-01,2000-12-31,0.8090780575029008,106.2404837243774
5,2001-01-01,2001-03-31,2.40760569174734,108.79833565746542
6,2001-04-01,2001-06-30,0.611702746397947,109.46385806471739
7,2001-07-01,2001-09-30,0.013049974396401001,109.47814307016814
8,2001-10-01,2001-12-31,2.37210080769735,112.07507498618766
9,2002-01-01,2002-03-31,1.39699195624544,113.64075476870073
10,2002-04-01,2002-06-30,0.6675680142066159,114.39938409863956
11,2002-07-01,2002-09-30,3.35377607345046,118.23608327071443
12,2002-10-01,2002-12-31,0.669634033566832,119.02783232425156
13,2003-01-01,2003-03-31,-1.1005145254480901,117.71791374019718
14,2003-04-01,2003-06-30,0.38600749805401796,118.1723137137871
15,2003-07-01,2003-09-30,1.96693093324135,120.49668150675058
16,2003-10-01,2003-12-31,4.6191244624286,126.06257319864358
17,2004-01-01,2004-03-31,-0.47228253054207203,125.46720168787458
18,2004-04-01,2004-06-30,2.1224889640884097,128.1302291972503
19,2004-07-01,2004-09-30,0.408078575511341,128.65310121135786
20,2004-10-01,2004-12-31,2.0094247697146397,131.23828849410492
21,2005-01-01,2005-03-31,1.29177582555979,132.9335929787502
22,2005-04-01,2005-06-30,1.7130667335309602,135.21083413775662
23,2005-07-01,2005-09-30,0.0280130345680758,135.2487107954634
24,2005-10-01,2005-12-31,2.3362225432641,138.4084216665411
25,2006-01-01,2006-03-31,2.08469321621356,141.29381264369175
26,2006-04-01,2006-06-30,-0.0632139033148821,141.20449530957725
27,2006-07-01,2006-09-30,1.30644169897067,143.04924971712265
28,2006-10-01,2006-12-31,0.27345870461547,143.44043034236122
29,2007-01-01,2007-03-31,6.09486508380898,152.18293104736316
30,2007-04-01,2007-06-30,-1.9131755212403203,149.27140446305899
31,2007-07-01,2007-09-30,-2.29112390495126,145.85141163214936
32,2007-10-01,2007-12-31,5.13031536487667,153.33404901300304
33,2008-01-01,2008-03-31,-3.96501248057319,147.25433483266926
34,2008-04-01,2008-06-30,-2.27235422740139,143.9081947300673
35,2008-07-01,2008-09-30,0.31997804640364,144.36866936017933
36,2008-10-01,2008-12-31,-4.724041561929179,137.54863341720034
37,2009-01-01,2009-03-31,-0.141943336492493,137.35339229762815
38,2009-04-01,2009-06-30,-0.405450562588221,136.79649219582342
39,2009-07-01,2009-09-30,-0.5610118495654101,136.02904766481504
40,2009-10-01,2009-12-31,-1.41172674494494,134.10868921803694
41,2010-01-01,2010-03-31,2.5236942439835497,137.49318248851432
42,2010-04-01,2010-06-30,0.0027524266694353397,137.49696688753778
43,2010-07-01,2010-09-30,1.04472211208443,138.9334281040573
44,2010-10-01,2010-12-31,-0.35249050163521106,138.44370096639432
45,2011-01-01,2011-03-31,-0.138015867733948,138.25262669118257
46,2011-04-01,2011-06-30,1.09760672724488,139.77009682233773
47,2011-07-01,2011-09-30,-1.0727823007098,138.27066796194276
48,2011-10-01,2011-12-31,-0.438070647233686,137.66494475186752
49,2012-01-01,2012-03-31,0.0135858042968982,137.68364764184693
50,2012-04-01,2012-06-30,1.29600658766518,139.46803678542298
51,2012-07-01,2012-09-30,-1.7425488716205502,137.03773808414726
52,2012-10-01,2012-12-31,1.97353050415245,139.74221964743845
53,2013-01-01,2013-03-31,-2.4277816372094803,136.349583699409
54,2013-04-01,2013-06-30,2.52324071019533,139.79001190349436
55,2013-07-01,2013-09-30,2.98680736886028,143.9652702799586
56,2013-10-01,2013-12-31,-0.8124472278188271,142.79562843254718
57,2014-01-01,2014-03-31,3.53672466917592,147.84591664982585
58,2014-04-01,2014-06-30,3.55250997504704,153.09815758651064
59,2014-07-01,2014-09-30,1.45388548252096,155.324029473668
60,2014-10-01,2014-12-31,-0.518734638870515,154.51830993029864
61,2015-01-01,2015-03-31,23.3915343590374,190.66251348864836
62,2015-04-01,2015-06-30,-2.14085640539581,186.58070285593797
63,2015-07-01,2015-09-30,3.66656617693637,193.42180779954396
64,2015-10-01,2015-12-31,0.8910848234048391,195.14536017400096
65,2016-01-01,2016-03-31,-3.9115448783951496,187.51216183268906
66,2016-04-01,2016-06-30,1.28190690535297,189.91589318359894
67,2016-07-01,2016-09-30,0.20157087134994,190.29870830432114
68,2016-10-01,2016-12-31,10.9666228591495,211.16804994988902
69,2017-01-01,2017-03-31,-3.1758205748264903,204.46173157212056
70,2017-04-01,2017-06-30,0.161094420905425,204.79110801456986
71,2017-07-01,2017-09-30,6.49153711567309,218.08519880093385
72,2017-10-01,2017-12-31,3.0881853249944298,224.8200739062892
73,2018-01-01,2018-03-31,2.2536337510572597,229.88669497099318
74,2018-04-01,2018-06-30,0.398560207577511,230.80293185966266
75,2018-07-01,2018-09-30,1.71918383996129,234.77085856635082
76,2018-10-01,2018-12-31,0.46188311319912,235.8552255167814
77,2019-01-01,2019-03-31,1.03520684155429,238.29681494749443
78,2019-04-01,2019-06-30,1.91099052193205,242.85064449520698
79,2019-07-01,2019-09-30,3.2759813129402797,250.806386227225
80,2019-10-01,2019-12-31,1.3180174066007802,254.1120580545662
81,2020-01-01,2020-03-31,-2.0544177345013703,248.8915348683868
82,2020-04-01,2020-06-30,-6.062896727724691,233.80149814526763
