ID,Name,acc_CountyName
759,Creggan Court Hotel,Westmeath
760,Achill Cliff House,Mayo
761,Breffni Arms Hotel ,Cavan
762,The Galmont Hotel  Spa,Galway
763,Mulcahys Hotel,Tipperary
764,Royal Spa Hotel,Clare
765,The Ashbourne Court Hotel,Meath
766,Villa Rose Hotel,Donegal
767,Harbour Hotel,Galway
768,Victoria House Hotel,Kerry
769,Bracken Court,Dublin
770,Intercontinental Dublin,Dublin
771,Gateway Hotel,Mayo
772,Mill Times Hotel,Mayo
773,An Criscn Ln,Galway
774,Loch Lein Country House Hotel,Kerry
775,The Westin Dublin,Dublin
776,The Spencer Hotel,Dublin
777,Ormond Hotel,Tipperary
778,Sliabh Beagh Hotel  Tourism Centre,Monaghan
779,Hotel Curracloe,Wexford
780,Travelodge Limerick,Limerick
781,Glasson Country House Hotel  Golf Club,Westmeath
782,Cork Airport Hotel,Cork
783,Percy French Hotel,Roscommon
784,East Village Hotel,Cork
785,Ashdown Park Hotel,Wexford
786,Killashee Hotel,Kildare
787,The Johnstown Estate,Meath
788,Barberstown Castle,Kildare
789,The Sheldon Park Hotel,Dublin
790,Lynhams Hotel,Wicklow
791,Seven Horseshoes Hotel,Cavan
792,Clybaun Hotel,Galway
793,Cavan Crystal Hotel,Cavan
794,Lakeside Manor Hotel,Cavan
795,Crowne Plaza Dublin Northwood,Dublin
796,Woodenbridge Lodge,Wicklow
797,Maldron Hotel Wexford,Wexford
798,Maol Reidh Hotel,Galway
799,The Pilgrims Rest Hotel,Waterford
800,Caisleain Oir,Donegal
801,Radisson Blu Hotel Athlone,Westmeath
802,Roganstown Hotel and Country Club,Dublin
803,Clifton Court Hotel,Dublin
804,Clayton Hotel Leopardstown,Dublin
805,Fairhill House Hotel,Galway
806,Quality Hotel  Leisure Centre Youghal,Cork
807,Osprey Hotel  Spa,Kildare
808,Jurys Inn Parnell Street,Dublin
809,Downings Bay Hotel,Donegal
810,Radisson Blu Hotel Letterkenny,Donegal
811,Mullingar Park Hotel,Westmeath
812,Grand Canal Hotel,Dublin
813,Errigal Country House Hotel,Cavan
814,The Brehon,Kerry
815,The Horse and Hound Inn Hotel,Wexford
816,Ashbourne House Hotel,Meath
817,Dingle Bay Hotel,Kerry
818,Tara Hotel,Donegal
819,The Prince of Wales Hotel,Westmeath
820,Abbey Hotel,Cork
821,Malinbeg Hostel,Donegal
822,Courtbrack Accommodation,Limerick
823,Connemara National Park Hostel  Letterfrack Lodge,Galway
824,Beach Haven Hostel,Waterford
825,Tara Hall,Dublin
826,Isaacs Hostel,Dublin
827,Doolin Hostel,Clare
828,Lakeland House,Mayo
829,Doolin Inn,Clare
830,Kinlay House Dublin,Dublin
831,Donegal Adventure Centre,Donegal
832,Fossa Holiday Hostel,Kerry
833,Inishbofin Island Hostel,Galway
834,Lahinch Hostel,Clare
835,Carlingford Adventure Centre,Louth
836,Sheilas Budget Accommodation Centre,Cork
837,Kinlay House Cork,Cork
838,Corofin Village Hostel,Clare
839,Kenmare Failte Hostel,Kerry
840,Dingle Gate Hostel,Kerry
841,Old Mill Holiday Hostel,Mayo
842,Neptunes Killarney Town Hostel,Kerry
843,Avalon House,Dublin
844,Dun Ulun House,Donegal
845,Cashel Holiday Hostel,Tipperary
846,Snoozles Hostel Quay Street,Galway
847,The White House Hostel,Sligo
848,Br Radharc Na Mara Hostel,Galway
849,Kinlay Hostel,Galway
850,Old Monastery Hostel,Galway
851,Traditional Farm Hostel,Laois
852,An Str Townhouse,Cork
853,Clifden Town Hostel,Galway
854,Russagh Mill Hostel and Adventure Centre,Cork
855,Jacobs Inn,Dublin
856,Flanagans Village Hostel,Clare
857,Billeragh House,Kerry
858,Katie OConnors Hostel,Clare
859,Oliver St John Gogartys,Dublin
860,Teac Jack,Donegal
861,Sandrock Holiday Hostel,Donegal
862,Killarney Railway Hostel,Kerry
863,Barnacles Temple Bar House,Dublin
864,The Abbey Court Hostel,Dublin
865,Clares Rock,Clare
866,MEC Hostel,Dublin
867,Lough Lannagh Lodge,Mayo
868,Marina House,Dublin
869,Hungry Hill Lodge,Cork
870,Lennon Lodge,Donegal
871,Slane Farm Hostel,Meath
872,Br na Dromoda,Kerry
873,Kilkenny Tourist Hostel,Kilkenny
874,Donegal Town Independent Hostel,Donegal
875,Corcreggan Mill,Donegal
876,Sive Hostel,Kerry
877,Kilcommon Lodge,Mayo
878,Aille River Hostel and Camping,Clare
879,Rainbow Hostel,Clare
880,Derrylahan Independent Hostel,Donegal
881,Dempseys Hostel,Cork
882,Ballyvaughan,Clare
883,Killarney Lakeland Cottages,Kerry
884,Renvyle Thatched Cottages,Galway
885,Quilty Holiday Cottages,Clare
886,Scotts Holiday Homes,Donegal
887,Rectory Holiday Cottages,Donegal
888,Old Deanery Holiday Cottages,Mayo
889,Brookman Town Homes  Donnybrook Manor,Dublin
890,Doonbeg Holiday Cottages,Clare
891,Parkland Holiday Homes,Kerry
892,Kinsale Holiday Village,Cork
893,Keel Holiday Cottages,Mayo
894,Ardnagashel Estate,Cork
895,Clonmoylan Self Catering Accommodation,Galway
896,Dingle Marina Cottages,Kerry
897,Coastal Holiday Cottages,Kerry
898,Aughrim Holiday Village,Wicklow
899,Lough Lannagh Cottages,Mayo
900,Durrus Rent an Irish Cottage,Cork
901,Dingle Harbour Cottages,Kerry
902,Robertstown Holiday Village,Kildare
903,Carleton Village,Cork
904,Ballyhoura Mountain Lodges,Limerick
905,Carraroe Holiday Village,Galway
906,Wolseley Manor,Carlow
907,Fairgreen Holiday Cottages,Donegal
908,Killarneys Holiday Village,Kerry
909,Heyward Mews,Dublin
910,Seacliff Holiday Village,Waterford
911,The Grove Lodge Riverside Holiday Homes,Kerry
912,Pipers Chair Houses,Clare
913,Doonbeg Holiday Homes,Clare
914,Upton Court Holiday Cottages,Wexford
915,Crystal Fountain Holiday Village,Kerry
916,Rookery Mews Apartments,Kerry
917,Latchfords,Dublin
918,Molesworth Court Suites,Dublin
919,Isaacs Apartments,Cork
920,Inchydoney Island Apartments,Cork
921,Clifden Station House Suites,Galway
922,The Gleneagle River Apartments,Kerry
923,Glendalough International Youth Hostel,Wicklow
924,Tra Na Rosann,Donegal
925,Black Valley Youth Hostel,Kerry
926,Knockree Youth Hostel,Wicklow
927,Killarney International Youth Hostel,Kerry
928,Errigal Youth Hostel,Donegal
929,Ben Lettery Youth Hostel,Galway
930,Dublin International Youth Hostel,Dublin
931,Radisson Blu Hotel and Spa Cork,Cork
932,Castleknock Hotel,Dublin
933,Lahinch Golf  Leisure Hotel,Clare
934,McGrorys of Culdaff,Donegal
935,Maldron Hotel Sandy Road Galway,Galway
936,Boffin Lodge,Mayo
937,Hamlet Court,Meath
938,The Beacon,Dublin
939,Grangecourt Holiday Homes,Wexford
940,Clayton Hotel Cardiff Lane,Dublin
941,Raheen Woods Hotel,Galway
942,Clayton Hotel Dublin Airport,Dublin
943,Hilton Dublin Airport,Dublin
944,Kilford Arms Hotel,Kilkenny
945,Ballyhass Lakes,Cork
946,Kilgraney House,Carlow
947,Lorum Old Rectory,Carlow
948,Greenlane House,Carlow
949,Coolanowle Country House,Carlow
950,Ballinsheen House  Gardens,Clare
951,Mulvarra House,Carlow
952,Laburnum Lodge,Carlow
953,The Arches,Cavan
954,Tirconaill BB,Dublin
955,An Cranng,Cavan
956,Hawthorn Lodge,Cavan
957,Fortview House,Cavan
958,Olive Grove,Cavan
959,The Manse,Cavan
960,Bridge House,Cavan
961,Hillview House,Cavan
962,Riverside House,Cavan
963,Clooneen House,Cavan
964,Eonish Lodge,Cavan
965,Teach Droim Coill,Cavan
966,Annaly House,Clare
967,Seacoast Lodge,Clare
968,Dolmen Lodge,Clare
969,Park House,Clare
970,Headley Court,Clare
971,Bunratty Villa,Clare
972,Briar Lodge,Clare
973,Bunratty Arms,Clare
974,Innisfree,Clare
975,Avarest,Clare
976,Gallows View,Clare
977,Highbury House,Clare
978,Glencarrig,Clare
979,Lakefield Lodge,Clare
980,Fergus View,Clare
981,Inchiquin View,Clare
982,Corofin Country House,Clare
983,Emohruo Bed  Breakfast,Clare
984,Harbour View,Clare
985,Dalys House,Clare
986,Churchfield,Clare
987,Riverdale Farmhouse,Clare
988,Riverfield House,Clare
989,Fernhill Farmhouse,Clare
990,Glasha Meadows,Clare
991,Seascape,Clare
992,Doonagore Farmhouse,Clare
993,Newpark House,Clare
994,St Patricks,Clare
995,Brookville House,Clare
996,Stonehaven,Clare
997,Eden Hill House,Clare
998,Glen Cove,Clare
999,Sanborn House,Clare
1000,Elmdale,Clare
1001,Station House,Clare
1002,Deer Park House,Clare
1003,Ballybreen House,Clare
1004,Nolans BB,Clare
1005,Carramore Lodge,Clare
1006,Whitethorn Lodge,Clare
1007,Hillcrest View,Clare
1008,Cois Farraige,Clare
1009,Sea Haven,Clare
1010,Crosswinds,Clare
1011,Gowlaun,Clare
1012,ONeills Town Home,Clare
1013,Woodhaven,Clare
1014,An Gleann,Clare
1015,Sunrise Bed  Breakfast,Clare
1016,Beechgrove Farmhouse,Clare
1017,Scapaflow,Clare
1018,Clonmore Lodge,Clare
1019,Airport Manor BB,Clare
1020,Knocknagow,Clare
1021,Cahergal House  Riding Stables,Clare
1022,Doire Liath,Cork
1023,Sunville House,Cork
1024,Moloneys BB,Clare
1025,Estuary View,Clare
1026,Meadowbank,Cork
1027,Ashgrove House,Cork
1028,Channel View,Cork
1029,Rathmore House,Cork
1030,Cnoc a Duin,Cork
1031,The White House,Cork
1032,Donemark Rise,Cork
1033,Sea Mount BB,Cork
1034,Dromcloc House,Cork
1035,Westwood Country House,Cork
1036,Killarney House,Cork
1037,Lanesville,Cork
1038,La Mirage,Cork
1039,Knockawn Wood,Cork
1040,Ard Na Gaoithe,Cork
1041,Shannon Park House,Cork
1042,Chestnut Lodge,Cork
1043,Realt na Mara,Cork
1044,Glendine Irish Home,Cork
1045,Ballard House,Cork
1046,Tudor Lodge,Cork
1047,Duvane House,Cork
1048,Melrose Bed  Breakfast,Cork
1049,Ard Na Greine Country House,Cork
1050,Macliam Lodge,Cork
1051,Springfield House,Cork
1052,Mountview House,Cork
1053,Knockeven House,Cork
1054,Ard Na Laoi,Cork
1055,Flushing Meadow,Cork
1056,Ardfield,Cork
1057,Caroleville,Cork
1058,Kent House,Cork
1059,Oaklands BB,Cork
1060,Number Forty Eight,Cork
1061,Maria Ville House,Cork
1062,Woodpoint,Cork
1063,Galley Cove House,Cork
1064,Creagh House,Cork
1065,Carraig Dubh House,Cork
1066,Island View House,Cork
1067,The Herons Cove,Cork
1068,Ellamore,Cork
1069,Glenlohane,Cork
1070,Rocklands House,Cork
1071,Seafield Farmhouse,Cork
1072,Glebe Country House,Cork
1073,Woodlands House,Cork
1074,Valley-View,Cork
1075,Ashgrove,Cork
1076,Old Presbytery,Cork
1077,Bridgeview Farmhouse,Cork
1078,Greenmount House,Cork
1079,Sea Gull House,Cork
1080,Rivermount House,Cork
1081,Danabel,Cork
1082,Landfall House,Cork
1083,Fountain House,Cork
1084,Findus House,Cork
1085,Weston House BB,Cork
1086,Park South,Cork
1087,Oaklands,Cork
1088,Annabella Lodge,Cork
1089,Sundown House,Cork
1090,Knockdrish,Cork
1091,An Rosalithir,Cork
1092,Marguerites,Cork
1093,Shearwater Country House BB,Cork
1094,PK Lodge,Cork
1095,Coolbawn Lodge Farmhouse,Cork
1096,Panorama House,Cork
1097,Lis-Ardagh Lodge,Cork
1098,Castle Farm,Cork
1099,Danny Minnies,Donegal
1100,Bay View Country House,Donegal
1101,Drumbarron House,Donegal
1102,Randwick,Donegal
1103,Cavangarden House,Donegal
1104,Elm Brook,Donegal
1105,Westbrook House,Donegal
1106,Caldra,Donegal
1107,Killavil House,Donegal
1108,Riversdale Country House,Donegal
1109,Mount Royd Country Home,Donegal
1110,Mevagh House,Donegal
1111,Trean House,Donegal
1112,The Bluestack Centre,Donegal
1113,Island View House,Donegal
1114,Bayside,Donegal
1115,The Cove Lodge,Donegal
1116,Arches Country House,Donegal
1117,Ros-earl BB,Donegal
1118,Ardlenagh View,Donegal
1119,Milltown House,Donegal
1120,Haywoods,Donegal
1121,Murvagh Links Manor,Donegal
1122,Radharc an Oileain,Donegal
1123,Avalon,Donegal
1124,Brennans BB,Donegal
1125,Lisdanar House,Donegal
1126,Hollycrest Lodge,Donegal
1127,Gartan Outdoor Education and Training Centre,Donegal
1128,Bridgeburn House,Donegal
1129,Ardlee,Donegal
1130,Town View,Donegal
1131,White park BB,Donegal
1132,Avondale  Farmhouse,Donegal
1133,Ardeen House,Donegal
1134,Frewin,Donegal
1135,Adare,Dublin
1136,Aaron Court,Dublin
1137,Oak Lodge,Dublin
1138,Cois Coill,Kerry
1139,Portobello BB,Dublin
1140,Millstream House,Kerry
1141,Santa Cruz,Dublin
1142,Conamara House,Galway
1143,Lissyclearig Thatched Cottage,Kerry
1144,Loughkiern,Dublin
1145,Evergreen,Dublin
1146,Ferry House,Dublin
1147,Brides Glen Farm House,Dublin
1148,Glenfort House,Kerry
1149,Slievenamon Manor,Dublin
1150,Beechwood Country House,Dublin
1151,Arranmore House,Dublin
1152,Dexters BB Dublin,Dublin
1153,Seaview,Dublin
1154,Coisli,Kerry
1155,Banner House,Dublin
1156,An Duna Ri,Kerry
1157,Annandale House,Dublin
1158,Greenacres,Dublin
1159,Aghadoe House,Dublin
1160,Annally,Dublin
1161,Almara Bed  Breakfast Dublin,Dublin
1162,Ghan House,Louth
1163,Four Seasons,Dublin
1164,Cashel Lodge,Dublin
1165,Lakeland House,Tipperary
1166,Pebble Mill,Dublin
1167,Heather View,Dublin
1168,San Juan,Dublin
1169,Southdale,Dublin
1170,Tara,Dublin
1171,Oakleigh,Dublin
1172,Clara,Dublin
1173,San Marino,Dublin
1174,Glocca Morra,Clare
1175,Woodview Farmhouse,Dublin
1176,Jantol House,Dublin
1177,Cornerville,Dublin
1178,Highfield House,Dublin
1179,Brookfield Lodge,Dublin
1180,Rathview House,Dublin
1181,San Augustine,Dublin
1182,Ard-Cill,Dublin
1183,Collinswood,Dublin
1184,Clai Ban,Galway
1185,Ard Mhuiris,Galway
1186,An Realog,Galway
1187,Nephin,Galway
1188,Teach An Easard,Galway
1189,Murlach Lodge,Galway
1190,Mannin Lodge,Galway
1191,Villa de Porres,Galway
1192,Freeport House,Galway
1193,Abbeyville,Galway
1194,Donoghues,Galway
1195,Springlawn,Galway
1196,Hazelbrook,Galway
1197,The Ocean Wave,Galway
1198,Cois na Mara,Galway
1199,Cnoc Breac,Galway
1200,Dan OHaras Farmhouse,Galway
1201,Sharamore House,Galway
1202,Ben Breen House,Galway
1203,Faul House,Galway
1204,Rockmount House,Galway
1205,Clifden Farmhouse,Galway
1206,Lough Fadda House,Galway
1207,Sea Mist House,Galway
1208,Cornerstones BB,Galway
1209,The Wilderness,Galway
1210,Kingstown House,Galway
1211,Doonhill Lodge,Galway
1212,Ardmore House,Galway
1213,Ocean Villa,Galway
1214,Cregg House,Galway
1215,Atlantic View,Galway
1216,Dun Aengus House,Galway
1217,Ballykine House,Galway
1218,Lynchs Farmhouse,Galway
1219,St Anthonys,Galway
1220,Lisnagree,Galway
1221,Anach-Cuin House,Galway
1222,Corrib View,Galway
1223,Winacre Lodge,Galway
1224,Abbey View,Galway
1225,The Arches,Galway
1226,Dun Roamin,Galway
1227,Kiltevna,Galway
1228,St. Judes,Galway
1229,Woodhaven Lodge,Galway
1230,Glenariff,Galway
1231,Maple House,Galway
1232,Annaree House,Galway
1233,Claremont,Galway
1234,St. Kierans,Galway
1235,Cappa Veagh,Galway
1236,Kilbrack House,Galway
1237,Claremount House,Galway
1238,Woodville,Galway
1239,Lynburgh,Galway
1240,Ross House,Galway
1241,Consilio,Galway
1242,Liskea House,Galway
1243,Roncalli House,Galway
1244,The Dormers,Galway
1245,Rock Lodge,Galway
1246,Lawndale,Galway
1247,Mountain View,Galway
1248,Clareview House,Galway
1249,Killary Adventure Centre,Galway
1250,Delphi Lodge,Galway
1251,Cartron House Farm,Galway
1252,Castle View House,Galway
1253,Birchgrove House,Galway
1254,Coolibah House,Galway
1255,Hillview,Galway
1256,The Western Way,Galway
1257,Crossriver,Galway
1258,Nonaim Lodge,Galway
1259,Camillaun Lodge,Galway
1260,Riverwalk House,Galway
1261,Corrib View Country House,Galway
1262,Forest Hill,Galway
1263,Pine Grove,Galway
1264,The Waterfront House Country Home,Galway
1265,Cois Caolaire,Galway
1266,Gleann Treasna,Galway
1267,Ivy Rock House,Galway
1268,The Anglers Return,Galway
1269,Briseadh na Carraige,Galway
1270,Ardmor Country House,Galway
1271,Screebe House,Galway
1272,Errisbeg Lodge,Galway
1273,Ard Aoibhinn BB,Galway
1274,St. Annes,Galway
1275,Castle View House,Kerry
1276,Rush Lake House,Galway
1277,Cloch Na Scith Thatched Cottage,Galway
1278,Derrynane Bay House,Kerry
1279,Morans Seaside Farmhouse,Kerry
1280,Sea Shore,Kerry
1281,Ferryview BB,Kerry
1282,Cul Draiochta,Kerry
1283,San Antoine,Kerry
1284,Iveragh Heights,Kerry
1285,Sea Breeze,Kerry
1286,OShea BB,Kerry
1287,Beenoskee,Kerry
1288,The Shores Country House,Kerry
1289,Castle House,Kerry
1290,Glenbrook House,Kerry
1291,Tailors Lodge,Kerry
1292,Tom and Eileens Farm,Kerry
1293,Castlemaine House,Kerry
1294,Murphys Farmhouse,Kerry
1295,Mount Brandon Lodge,Kerry
1296,Coill An Rois,Kerry
1297,Kirrary,Kerry
1298,Devanes,Kerry
1299,Ferriters Cove,Kerry
1300,Dingle Heights,Kerry
1301,Garveys Farmhouse,Kerry
1302,Tower View,Kerry
1303,An Speice,Kerry
1304,Ard-Na-Mara Country House,Kerry
1305,The Lighthouse,Kerry
1306,An Riasc BB,Kerry
1307,Sraid Eoin House,Kerry
1308,OFlahertys BB,Kerry
1309,ONeill BB,Kerry
1310,Ard na Carraige,Kerry
1311,Hillcrest House,Kerry
1312,Blackstones House,Kerry
1313,Sallyport House,Kerry
1314,Muxnaw Lodge,Kerry
1315,Ashfield BB,Kerry
1316,Kenmare House BB,Kerry
1317,Abbey Court,Kerry
1318,Cloisters BB,Cork
1319,Avelow House,Kerry
1320,Rockcrest House,Kerry
1321,Whispering Pines,Kerry
1322,Druid Cottage,Kerry
1323,White Heather Farm,Kerry
1324,Tara Farm,Kerry
1325,Oldchurch House,Kerry
1326,An Bruachan,Kerry
1327,Doolin Cottage BB,Clare
1328,Melrose,Kerry
1329,OSheas Ceol Na hAabhann,Kerry
1330,The Cahas,Kerry
1331,River Meadows,Kerry
1332,Driftwood,Kerry
1333,Birchwood,Kerry
1334,Ashbrook,Kerry
1335,Coolclogher House,Kerry
1336,Windway House,Kerry
1337,Salmon Leap Farm,Kerry
1338,Dunn Court House,Kerry
1339,Kylie House,Kerry
1340,Cillcearn House,Kerry
1341,Alderhaven Country Home,Kerry
1342,Springfield Lodge,Kerry
1343,Farmstead Lodge,Kerry
1344,St Anthonys Lodge,Kerry
1345,Reeks View,Kerry
1346,River Valley Farmhouse,Kerry
1347,Dromhall Heights,Kerry
1348,Woodlands,Kerry
1349,Wayside,Kerry
1350,The Purple Heather,Kerry
1351,Carriglea House,Kerry
1352,Ardree House,Kerry
1353,Flesk Lodge,Kerry
1354,The Harp,Kerry
1355,Emerville House,Kerry
1356,Muckross Drive House,Kerry
1357,Valley View Farmhouse,Kerry
1358,ODonovans Muckross Riding Stables,Kerry
1359,Lios na Manach,Kerry
1360,Manderley,Kerry
1361,Ross Castle Lodge,Kerry
1362,Havens Rest,Kerry
1363,Falshea House,Kerry
1364,Glendale House,Kerry
1365,Gormans,Kerry
1366,Hilton Heights,Kerry
1367,Redwood,Kerry
1368,Applecroft House,Kerry
1369,The Mountain Dew,Kerry
1370,Elyod House,Kerry
1371,Parkfield House,Kerry
1372,Sancta Maria,Kerry
1373,Mystical Rose,Kerry
1374,OMahonys,Kerry
1375,Noraville House,Kerry
1376,Hillcrest Farmhouse,Kerry
1377,Fern Rock,Kerry
1378,Torine House,Kerry
1379,Palmgrove House,Kerry
1380,Aras Mhuire,Kerry
1381,North County House,Kerry
1382,Larkins Pub Restaurant BB,Kerry
1383,The Waterfront,Kerry
1384,Sneem River Lodge,Kerry
1385,Gurrane,Kerry
1386,Bayview House,Kerry
1387,The Forge,Kerry
1388,Green Gables,Kerry
1389,The Willows,Kerry
1390,Ashville House,Kerry
1391,Bleach Farmhouse,Kerry
1392,The Farmhouse,Kerry
1393,Ronnoco,Kerry
1394,Shangri-la,Kerry
1395,Spring Acre,Kerry
1396,Golf Links View,Kerry
1397,Old Cable Historic House,Kerry
1398,Cliffords Ocean View BB,Kerry
1399,Atlantic View,Kerry
1400,OGradys Townhouse,Kerry
1401,Klondyke House,Kerry
1402,Ballindrum farm,Kildare
1403,Moate Lodge,Kildare
1404,Curragh Plains,Kildare
1405,Castleview Farm,Kildare
1406,Eaglehill BB,Kildare
1407,Martinstown House,Kildare
1408,Singletons Bed and Breakfast,Kildare
1409,Woodbine House BB,Kildare
1410,Aaronbeg,Kildare
1411,Cloncarlin House,Kildare
1412,Norely Theyr,Kilkenny
1413,Aard Oakleigh,Kilkenny
1414,Aran Lodge,Cork
1415,Damerstown Farmhouse,Kilkenny
1416,Wandesforde House,Kilkenny
1417,Moate BB,Kilkenny
1418,Cradog,Kilkenny
1419,Castle View,Kilkenny
1420,Bungalow Farmhouse,Kilkenny
1421,Brandon View House,Kilkenny
1422,Cullintra House,Kilkenny
1423,Charlefield Farmhouse,Kilkenny
1424,Grove Farmhouse,Kilkenny
1425,Church View BB,Kilkenny
1426,Celtic House,Kilkenny
1427,Avila,Kilkenny
1428,Carraig Rua,Kilkenny
1429,Twin Oaks BB,Kilkenny
1430,Dromagowlane House,Cork
1431,Auburndale,Kilkenny
1432,Kenmur House BB,Kilkenny
1433,Mena House,Kilkenny
1434,The Rise,Kilkenny
1435,Dunromin,Kilkenny
1436,Chaplins,Kilkenny
1437,Barkers,Clare
1438,Coolmore Farmhouse,Kilkenny
1439,Oldtown Farmhouse,Kilkenny
1440,Springview House,Kilkenny
1441,Roundwood House,Laois
1442,Laois County Lodge,Laois
1443,Ivyleigh House,Laois
1444,The Old Rectory,Leitrim
1445,St. Annes,Dublin
1446,Meadow Vale,Leitrim
1447,Villa Flora,Leitrim
1448,Greenville House BB,Leitrim
1449,Allendale,Leitrim
1450,Bluebell House,Leitrim
1451,Park Lodge,Limerick
1452,Fitzgeralds Farmhouse  Equestrian Centre,Limerick
1453,Castleview BB,Limerick
1454,Berkeley Lodge,Limerick
1455,Elm House,Limerick
1456,Coatesland House BB,Limerick
1457,Carrigane House,Limerick
1458,Killeen House,Limerick
1459,Coolrahnee House,Limerick
1460,The Old Bank,Limerick
1461,Grange Farm House,Limerick
1462,ODriscolls BB,Limerick
1463,Woodview BB,Limerick
1464,Deebert House,Limerick
1465,Coonagh Lodge,Limerick
1466,Glen Eagles,Limerick
1467,Armada Lodge,Limerick
1468,Millbank House  Angling Centre,Limerick
1469,Shanagarry Bed  Breakfast,Limerick
1470,The Orchard,Limerick
1471,Ballingowan House,Limerick
1472,Cedar Lodge,Limerick
1473,Melview Lodge,Longford
1474,Sancian,Longford
1475,Carraig Mor,Louth
1476,Mourneview,Louth
1477,Grove House,Louth
1478,Highlands,Louth
1479,The Oystercatcher Lodge,Louth
1480,Windsor Lodge,Louth
1481,Orley House,Louth
1482,Lynolan House,Louth
1483,Krakow,Louth
1484,Achill Isle House,Mayo
1485,West Coast House,Mayo
1486,Bayview,Mayo
1487,Greenhill,Mayo
1488,Burton Street House,Mayo
1489,Brigown,Mayo
1490,Suncroft,Mayo
1491,Templecarrig House,Mayo
1492,Keadyville House BB,Mayo
1493,The Yellow Rose BB,Mayo
1494,Bru Chlann Lir,Mayo
1495,Drom Caoin,Mayo
1496,Dun Mhuire,Mayo
1497,Woodview Lodge,Mayo
1498,Hillcrest House,Mayo
1499,Rocksberry BB,Mayo
1500,Granuaile House,Mayo
1501,The Seabreeze,Mayo
1502,Cois Abhainn,Mayo
1503,Ashlawn,Mayo
1504,Chez Nous,Mayo
1505,Doogarry House,Mayo
1506,Nephin House,Mayo
1507,Millhill House,Mayo
1508,Rose Garden,Mayo
1509,Valley Lodge,Mayo
1510,Casa Mia,Mayo
1511,Ashfield House,Mayo
1512,Ryans Riverlodge,Mayo
1513,Dolmen House,Mayo
1514,Hazel Grove,Mayo
1515,Hill View Farm,Mayo
1516,Nymphsfield House,Mayo
1517,Enniscoe House,Mayo
1518,Ocean View House,Mayo
1519,Burren,Mayo
1520,Carramore House,Mayo
1521,Aisling House,Mayo
1522,Windemere,Mayo
1523,Louisburgh Lodge,Mayo
1524,Ponderosa,Mayo
1525,The Three Arches,Mayo
1526,Cuaneen House,Mayo
1527,Nevins Newfield Inn,Mayo
1528,Elderberry,Mayo
1529,Drummin House,Mayo
1530,Hazelbrook,Mayo
1531,Westwood,Mayo
1532,Achill View,Mayo
1533,Carrabaun House,Mayo
1534,Bertra House,Mayo
1535,Rosmo House,Mayo
1536,Woodbine Cottage,Mayo
1537,Cashel Cairns,Mayo
1538,Glenderan,Mayo
1539,Moher House,Mayo
1540,Seapoint House,Mayo
1541,Brooklodge,Mayo
1542,Lurgan House,Mayo
1543,Altamont House,Mayo
1544,Woodview House,Meath
1545,Keenogue House,Meath
1546,Birchwood,Meath
1547,Loughcrew House,Meath
1548,Teach Cuailgne - Cooley House,Meath
1549,Athlumney Manor,Meath
1550,Meadow View,Meath
1551,Bothar Alainn House,Meath
1552,Currans House,Meath
1553,Hill of Tara House,Meath
1554,Tigh Cathain,Meath
1555,White Lodge,Meath
1556,Cranmor House,Meath
1557,Arradale House,Monaghan
1558,Drumhowan Country House,Monaghan
1559,Hilton Park,Monaghan
1560,Grangeview House,Monaghan
1561,Gleneven House,Monaghan
1562,Dun Cromain Bed and Breakfast,Offaly
1563,Seawinds Bed and Breakfast,Donegal
1564,The Ring Farmhouse,Offaly
1565,Ardmore House,Kerry
1566,Ardmore Country House,Offaly
1567,Rachra House,Offaly
1568,Laurel Lodge,Offaly
1569,Littlewood,Offaly
1570,Millhouse,Sligo
1571,Seashore,Sligo
1572,Ballincrone,Sligo
1573,Mountain Inn,Sligo
1574,Gormagh,Offaly
1575,Tower HIll,Sligo
1576,Yeats Lodge,Sligo
1577,Mount Edward Lodge,Sligo
1578,Tara,Sligo
1579,Iorras,Sligo
1580,Ben Lodge BB,Sligo
1581,Ross House,Sligo
1582,Benbulben Farm,Sligo
1583,Rowanville Lodge,Sligo
1584,Temple House,Sligo
1585,Coopershill,Sligo
1586,Serenity,Sligo
1587,Seisnaun,Sligo
1588,Philmar House,Sligo
1589,Stonecroft,Sligo
1590,An Cruiscin Lan,Sligo
1591,St Martin De Porres,Sligo
1592,Teach Eamainn,Sligo
1593,Ave Maria Farmhouse,Sligo
1594,Eden Villa,Sligo
1595,Bansha House,Tipperary
1596,Lismacue House,Tipperary
1597,Foxford Farm House,Tipperary
1598,Lacken Lodge,Tipperary
1599,Carrigeen Castle,Tipperary
1600,The Rectory,Tipperary
1601,Hollymount House,Tipperary
1602,Tinsley House,Tipperary
1603,Rockville House,Tipperary
1604,Ladyswell House,Tipperary
1605,Tir Na Nog,Tipperary
1606,Palm Grove House,Tipperary
1607,Nagles,Tipperary
1608,Lissarda,Tipperary
1609,Hillcourt,Tipperary
1610,Benuala,Tipperary
1611,Kilmaneen Farmhouse,Tipperary
1612,Williamsferry House,Tipperary
1613,Ardcroney BB,Tipperary
1614,Maryville,Tipperary
1615,Willowbrook BB,Tipperary
1616,Ashley Park House,Tipperary
1617,The Castle,Tipperary
1618,Hawthorn View,Tipperary
1619,Riverside House BB,Tipperary
1620,Homeleigh Farmhouse,Tipperary
1621,Clonmore House,Tipperary
1622,Cush,Waterford
